=== Model information ===

Filename:     NaiveBayesMultinomialText_incremental_4.model
Scheme:       weka.classifiers.bayes.NaiveBayesMultinomialText -P 0 -M 1.0 -norm 1.0 -lnorm 2.0 -lowercase -stopwords-handler "weka.core.stopwords.WordsFromFile -stopwords C:\\Users\\mirki\\Desktop\\stopwords_en.txt" -tokenizer weka.core.tokenizers.AlphabeticTokenizer -stemmer "weka.core.stemmers.SnowballStemmer -S english"
Relation:     train_set
Attributes:   2
              text
              sentiment

=== Classifier model ===

Dictionary size: 1884

The independent frequency of a class
--------------------------------------
negative	761.0
neutral	760.0
positive	760.0

The frequency of a word given the class
-----------------------------------------
   negative	    neutral	   positive	
        3.0	        1.0	        1.0	half
        1.0	        2.0	        1.0	gkj
        1.0	        2.0	        1.0	clinton
        2.0	        3.0	        7.0	your
        4.0	        1.0	        1.0	slower
        1.0	        1.0	        3.0	without
       10.0	        2.0	        1.0	these
        1.0	        1.0	        2.0	saka
       13.0	        8.0	        9.0	would
        1.0	        1.0	        2.0	virgin
        1.0	        1.0	        4.0	pick
        1.0	        2.0	        1.0	rickergi
        2.0	        1.0	        1.0	sake
        1.0	        3.0	        1.0	basto
        1.0	        2.0	        1.0	sister
        1.0	        1.0	        2.0	ter
        1.0	        1.0	        3.0	sometim
        2.0	        1.0	        4.0	solid
        1.0	        1.0	        2.0	cdc
        1.0	        1.0	        2.0	unbeat
        3.0	        4.0	       10.0	cdm
        1.0	        1.0	        2.0	agueroooooooooooo
        5.0	        8.0	        5.0	befor
        3.0	        1.0	        1.0	serg
        4.0	        2.0	       10.0	left
        1.0	        2.0	        1.0	myke
        1.0	        2.0	        2.0	backbon
        3.0	        2.0	        6.0	seri
       15.0	       13.0	        8.0	much
        1.0	        2.0	        1.0	wine
        1.0	        1.0	        3.0	besid
        1.0	        4.0	        1.0	object
        2.0	        1.0	        1.0	flight
        3.0	        1.0	        2.0	turn
        1.0	        1.0	        2.0	lenglet
       12.0	        2.0	        3.0	gold
       14.0	        5.0	        3.0	same
       10.0	        3.0	        6.0	after
        1.0	        1.0	        2.0	hoffenheim
        1.0	        1.0	        4.0	hand
      150.0	       53.0	      136.0	a
        1.0	        1.0	        3.0	b
        2.0	        1.0	        1.0	c
        2.0	        1.0	        1.0	piec
        2.0	        2.0	        6.0	d
        1.0	        1.0	        2.0	e
        3.0	        2.0	        2.0	f
        1.0	        2.0	        1.0	h
       55.0	      103.0	       68.0	i
        1.0	        2.0	        1.0	j
        4.0	       61.0	        9.0	k
        8.0	        8.0	        5.0	m
        1.0	        1.0	        3.0	n
        2.0	        1.0	        4.0	o
      100.0	       68.0	      176.0	the
        3.0	        1.0	        1.0	p
        2.0	        1.0	        1.0	r
        1.0	        3.0	        1.0	sale
       39.0	       20.0	       43.0	s
       49.0	       13.0	       20.0	t
        1.0	        2.0	        1.0	blue
        6.0	        3.0	        7.0	u
        2.0	        1.0	        1.0	throw
        1.0	        1.0	        2.0	v
        2.0	        4.0	        5.0	thank
        1.0	        7.0	        3.0	deadey
        1.0	        1.0	        3.0	y
        1.0	        1.0	        2.0	obvious
        4.0	        3.0	        2.0	tho
        2.0	        6.0	        2.0	goe
        3.0	        2.0	        7.0	god
        1.0	        1.0	        2.0	magnifico
        1.0	        1.0	        3.0	gol
        1.0	        2.0	        1.0	semedo
        1.0	        1.0	        2.0	advic
       18.0	       15.0	       11.0	got
       27.0	       18.0	       68.0	good
        1.0	        1.0	        2.0	miami
        2.0	        2.0	        1.0	wish
        2.0	        1.0	        1.0	pac
        1.0	        1.0	        2.0	til
        1.0	        1.0	        2.0	serious
        2.0	        2.0	        1.0	horrend
        1.0	        3.0	        1.0	tip
        1.0	        2.0	        1.0	advis
        1.0	        2.0	        1.0	matthd
        2.0	        1.0	        1.0	laugh
        1.0	        1.0	        2.0	area
        2.0	        1.0	        3.0	fantast
        2.0	        1.0	        2.0	lukaku
        1.0	        1.0	        2.0	european
        2.0	        2.0	        1.0	pay
        2.0	        1.0	        1.0	reduc
        1.0	        1.0	        2.0	check
        1.0	        2.0	        1.0	walker
        2.0	        2.0	        1.0	gone
        3.0	        1.0	        2.0	success
        1.0	        2.0	        1.0	clasico
        1.0	        2.0	        1.0	chile
        1.0	        1.0	        2.0	beutyyi
        1.0	        2.0	        1.0	young
        1.0	        1.0	        2.0	medium
        1.0	        5.0	        2.0	untrad
        1.0	        2.0	        1.0	cannavaro
        1.0	        3.0	        2.0	rashford
        2.0	        1.0	        3.0	hard
        4.0	        1.0	        1.0	ridicul
        1.0	        1.0	        2.0	cardiff
        1.0	        1.0	        3.0	monstro
        2.0	        1.0	        1.0	emberass
        4.0	        1.0	        4.0	perform
        1.0	        1.0	        2.0	mindwelcom
        2.0	        1.0	        1.0	room
        1.0	        2.0	        1.0	nippl
       20.0	        4.0	       19.0	better
       27.0	       22.0	       64.0	with
        2.0	        1.0	        1.0	downgad
        3.0	        2.0	        2.0	neuer
        1.0	        1.0	        2.0	sexi
        5.0	        3.0	        4.0	there
        1.0	        1.0	        2.0	gooo
        5.0	        4.0	       10.0	well
        1.0	        1.0	        2.0	pocket
        2.0	        1.0	        1.0	neymar
        1.0	        2.0	        1.0	expos
        1.0	        1.0	        2.0	focus
        1.0	        1.0	        2.0	american
        5.0	        6.0	        1.0	sancho
        1.0	        1.0	        2.0	outstand
        2.0	        1.0	        1.0	pee
        1.0	        1.0	        3.0	myth
        1.0	        1.0	        2.0	peg
        3.0	        1.0	        1.0	llorent
        6.0	        1.0	        1.0	flop
        1.0	        1.0	        2.0	swansea
       10.0	        2.0	        2.0	hate
        1.0	        1.0	        2.0	block
        1.0	        1.0	        3.0	per
        1.0	        1.0	        2.0	kenni
        1.0	        1.0	        2.0	pes
        2.0	        1.0	        1.0	order
        3.0	        1.0	        1.0	went
        2.0	        1.0	        1.0	proceed
        4.0	        1.0	        1.0	hasn
        3.0	        1.0	        4.0	inter
        4.0	        1.0	        3.0	understand
        4.0	        3.0	        2.0	crazi
       24.0	        1.0	        2.0	disrespect
        2.0	        1.0	        1.0	pfa
        1.0	        1.0	        2.0	alright
       12.0	        4.0	       17.0	ever
        1.0	        2.0	        1.0	winner
        2.0	        2.0	        2.0	million
       21.0	        2.0	       14.0	even
        1.0	        2.0	        1.0	dumbelam
        2.0	        1.0	        1.0	coach
        4.0	        2.0	        5.0	champion
        1.0	        2.0	        1.0	buli
        3.0	       27.0	        9.0	wait
        8.0	        3.0	        5.0	fuck
